#format table ## [Custom WaveView] saved 15:00:04 Wed Mar 11 2026
TIME ,x_ssad.v(d5) ,x_ssad.v(d4) ,x_ssad.v(d3) ,x_ssad.v(d2) ,x_ssad.v(d1) ,x_ssad.v(d0) 
 8.000E-05 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.262E-06 , 1.348E+00 , 1.262E-06 
 1.300E-04 , 3.061E-07 , 3.061E-07 , 3.061E-07 , 1.348E+00 , 1.348E+00 , 1.348E+00 
 1.800E-04 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.262E-06 , 1.262E-06 , 1.348E+00 
 2.300E-04 , 1.101E-07 , 1.101E-07 , 1.101E-07 , 1.348E+00 , 1.348E+00 , 1.101E-07 
 2.800E-04 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.262E-06 , 1.348E+00 , 1.262E-06 
 3.300E-04 , 1.101E-07 , 1.101E-07 , 1.101E-07 , 1.348E+00 , 1.348E+00 , 1.101E-07 
 3.800E-04 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.262E-06 , 1.348E+00 , 1.262E-06 
 4.300E-04 , 1.101E-07 , 1.101E-07 , 1.101E-07 , 1.348E+00 , 1.348E+00 , 1.101E-07 
 4.800E-04 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.262E-06 , 1.348E+00 , 1.262E-06 
 5.300E-04 , 1.196E-07 , 1.196E-07 , 1.196E-07 , 1.348E+00 , 1.196E-07 , 1.348E+00 
 5.800E-04 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 4.431E-06 , 1.348E+00 , 1.348E+00 
 6.300E-04 , 1.101E-07 , 1.101E-07 , 1.101E-07 , 1.348E+00 , 1.348E+00 , 1.101E-07 
 6.800E-04 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.261E-06 , 1.348E+00 , 1.261E-06 
 7.300E-04 , 1.196E-07 , 1.196E-07 , 1.196E-07 , 1.348E+00 , 1.196E-07 , 1.348E+00 
 7.800E-04 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 4.431E-06 , 1.348E+00 , 1.348E+00 
 8.300E-04 , 1.192E-07 , 1.192E-07 , 1.192E-07 , 1.348E+00 , 1.192E-07 , 1.348E+00 
 8.800E-04 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 4.433E-06 , 1.348E+00 , 1.348E+00 
 9.300E-04 , 1.196E-07 , 1.196E-07 , 1.196E-07 , 1.348E+00 , 1.196E-07 , 1.348E+00 
 9.800E-04 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 4.432E-06 , 1.348E+00 , 1.348E+00 
 1.030E-03 , 1.196E-07 , 1.196E-07 , 1.196E-07 , 1.348E+00 , 1.196E-07 , 1.348E+00 
 1.080E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.111E-06 , 1.111E-06 
 1.130E-03 , 1.200E-07 , 1.200E-07 , 1.200E-07 , 1.348E+00 , 1.200E-07 , 1.348E+00 
 1.180E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 4.432E-06 , 1.348E+00 , 1.348E+00 
 1.230E-03 , 5.442E-08 , 5.442E-08 , 5.442E-08 , 1.348E+00 , 5.442E-08 , 5.441E-08 
 1.280E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.111E-06 , 1.111E-06 
 1.330E-03 , 5.439E-08 , 5.439E-08 , 5.439E-08 , 1.348E+00 , 5.439E-08 , 5.438E-08 
 1.380E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.111E-06 , 1.111E-06 
 1.430E-03 , 5.440E-08 , 5.440E-08 , 5.440E-08 , 1.348E+00 , 5.440E-08 , 5.441E-08 
 1.480E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.111E-06 , 1.111E-06 
 1.530E-03 , 5.441E-08 , 5.441E-08 , 5.441E-08 , 1.348E+00 , 5.440E-08 , 5.442E-08 
 1.580E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 4.430E-06 , 1.348E+00 
 1.630E-03 , 5.441E-08 , 5.441E-08 , 5.441E-08 , 1.348E+00 , 5.441E-08 , 5.440E-08 
 1.680E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.111E-06 , 1.111E-06 
 1.730E-03 , 1.100E-07 , 1.100E-07 , 1.100E-07 , 1.100E-07 , 1.348E+00 , 1.348E+00 
 1.780E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 4.428E-06 , 1.348E+00 
 1.830E-03 , 1.101E-07 , 1.101E-07 , 1.101E-07 , 1.101E-07 , 1.348E+00 , 1.348E+00 
 1.880E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.111E-06 , 1.111E-06 
 1.930E-03 , 5.442E-08 , 5.442E-08 , 5.442E-08 , 1.348E+00 , 5.442E-08 , 5.442E-08 
 1.980E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 4.428E-06 , 1.348E+00 
 2.030E-03 , 1.100E-07 , 1.100E-07 , 1.100E-07 , 1.100E-07 , 1.348E+00 , 1.348E+00 
 2.080E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 4.427E-06 , 1.348E+00 
 2.130E-03 , 1.104E-07 , 1.104E-07 , 1.104E-07 , 1.104E-07 , 1.348E+00 , 1.348E+00 
 2.180E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 4.426E-06 , 1.348E+00 
 2.230E-03 , 1.100E-07 , 1.100E-07 , 1.100E-07 , 1.100E-07 , 1.348E+00 , 1.348E+00 
 2.280E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 3.916E-06 
 2.330E-03 , 1.096E-07 , 1.096E-07 , 1.096E-07 , 1.096E-07 , 1.348E+00 , 1.348E+00 
 2.380E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 4.425E-06 , 1.348E+00 
 2.430E-03 , 1.100E-07 , 1.100E-07 , 1.100E-07 , 1.100E-07 , 1.348E+00 , 1.348E+00 
 2.480E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 3.914E-06 
 2.530E-03 , 5.438E-08 , 5.438E-08 , 5.438E-08 , 5.438E-08 , 1.348E+00 , 5.438E-08 
 2.580E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 3.914E-06 
 2.630E-03 , 1.102E-07 , 1.102E-07 , 1.102E-07 , 1.102E-07 , 1.348E+00 , 1.348E+00 
 2.680E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 3.914E-06 
 2.730E-03 , 5.439E-08 , 5.439E-08 , 5.439E-08 , 5.439E-08 , 1.348E+00 , 5.438E-08 
 2.780E-03 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 1.348E+00 , 3.913E-06 
 2.830E-03 , 5.440E-08 , 5.440E-08 , 5.440E-08 , 5.440E-08 , 1.348E+00 , 5.433E-08 
